Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query
68,Food Price History,1970s_shock,Schertz,Lyle P.,World Food: Prices and the Poor,1973,Foreign Affairs,ARTICLE,multi,HIGH,NEEDED,Start of 1973-74 food crisis framing,https://annas-archive.org/search?q=Schertz+World+Food%3A+Prices+and+the+Poor,https://archive.org/search?query=Schertz+World+Food%3A+Prices+and+the+Poor,,Schertz World Food: Prices and the Poor
69,Food Price History,1970s_shock,Johnson,D. Gale,The World Food Situation: Developments During the 1970s,1976,AJAE,ARTICLE,multi,HIGH,NEEDED,,https://annas-archive.org/search?q=Johnson+The+World+Food+Situation%3A+Developments+During+the+1970s,https://archive.org/search?query=Johnson+The+World+Food+Situation%3A+Developments+During+the+1970s,,Johnson The World Food Situation: Developments During the 1970s
70,Food Price History,1970s_shock,USDA,,The World Food Situation and Prospects to 1985,1974,USDA FAER-98,REPORT,multi,MEDIUM,NEEDED,Original govt response doc,https://annas-archive.org/search?q=USDA+The+World+Food+Situation+and+Prospects+to+1985,https://archive.org/search?query=USDA+The+World+Food+Situation+and+Prospects+to+1985,,USDA The World Food Situation and Prospects to 1985
71,Food Price History,1970s_shock,Luttrell,Clifton B.,The Russian Wheat Deal — Hindsight vs. Foresight,1973,St. Louis Fed Review,ARTICLE,cereals,HIGH,NEEDED,Great Grain Robbery,https://annas-archive.org/search?q=Luttrell+The+Russian+Wheat+Deal+%E2%80%94+Hindsight+vs.+Foresight,https://archive.org/search?query=Luttrell+The+Russian+Wheat+Deal+%E2%80%94+Hindsight+vs.+Foresight,https://research.stlouisfed.org/publications/review/1973/10/01/the-russian-wheat-deal-hindsight-vs-foresight,Luttrell The Russian Wheat Deal — Hindsight vs. Foresight
72,Food Price History,1970s_shock,Morgan,Dan,Merchants of Grain,1979,Viking,BOOK,cereals,HIGH,NEEDED,Cargill/Continental grain giants,https://annas-archive.org/search?q=Morgan+Merchants+of+Grain,https://archive.org/search?query=Morgan+Merchants+of+Grain,,Morgan Merchants of Grain
73,Food Price History,2008_crisis,Headey,Derek,Anatomy of a Crisis: The Causes and Consequences of Surging Food Prices,2008,Ag Econ,ARTICLE,multi,CRITICAL,NEEDED,With Fan; canonical 2008 paper,https://annas-archive.org/search?q=Headey+Anatomy+of+a+Crisis%3A+The+Causes+and+Consequences+of+Surging+Food+Prices,https://archive.org/search?query=Headey+Anatomy+of+a+Crisis%3A+The+Causes+and+Consequences+of+Surging+Food+Prices,,Headey Anatomy of a Crisis: The Causes and Consequences of Surging Food Prices
74,Food Price History,2008_crisis,Abbott,Philip C.,What's Driving Food Prices?,2008,Farm Foundation,REPORT,multi,CRITICAL,NEEDED,"With Hurt, Tyner; landmark",https://annas-archive.org/search?q=Abbott+What%27s+Driving+Food+Prices%3F,https://archive.org/search?query=Abbott+What%27s+Driving+Food+Prices%3F,,Abbott What's Driving Food Prices?
75,Food Price History,2008_crisis,Mitchell,Donald,A Note on Rising Food Prices,2008,World Bank WP 4682,WORKING_PAPER,multi,HIGH,NEEDED,Attributed 75% to biofuels (controversial),https://annas-archive.org/search?q=Mitchell+A+Note+on+Rising+Food+Prices,https://archive.org/search?query=Mitchell+A+Note+on+Rising+Food+Prices,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/229961468140943023,Mitchell A Note on Rising Food Prices
76,Food Price History,2008_crisis,Trostle,Ronald,Global Agricultural Supply and Demand: Factors Contributing to the Recent Increase in Food Commodity Prices,2008,USDA ERS WRS-0801,REPORT,multi,HIGH,NEEDED,USDA's crisis analysis,https://annas-archive.org/search?q=Trostle+Global+Agricultural+Supply+and+Demand%3A+Factors+Contributing+to+the+Recent+Increase+in+Food+Commodity+Prices,https://archive.org/search?query=Trostle+Global+Agricultural+Supply+and+Demand%3A+Factors+Contributing+to+the+Recent+Increase+in+Food+Commodity+Prices,https://www.ers.usda.gov/publications/pub-details/?pubid=40470,Trostle Global Agricultural Supply and Demand: Factors Contributing to the Recent Increase in Food Commodity Prices
77,Food Price History,2008_crisis,Piesse,Jenifer,Three Bubbles and a Panic: An Explanatory Review of Recent Food Commodity Price Events,2009,Food Policy,ARTICLE,multi,HIGH,NEEDED,With Thirtle,https://annas-archive.org/search?q=Piesse+Three+Bubbles+and+a+Panic%3A+An+Explanatory+Review+of+Recent+Food+Commodity+Price+Events,https://archive.org/search?query=Piesse+Three+Bubbles+and+a+Panic%3A+An+Explanatory+Review+of+Recent+Food+Commodity+Price+Events,,Piesse Three Bubbles and a Panic: An Explanatory Review of Recent Food Commodity Price Events
78,Food Price History,2008_crisis,Gilbert,Christopher L.,How to Understand High Food Prices,2010,Journal of Ag Econ,ARTICLE,multi,HIGH,NEEDED,Financialization hypothesis,https://annas-archive.org/search?q=Gilbert+How+to+Understand+High+Food+Prices,https://archive.org/search?query=Gilbert+How+to+Understand+High+Food+Prices,,Gilbert How to Understand High Food Prices
79,Food Price History,2011_spike,Tadesse,Getaw,Drivers and Triggers of International Food Price Spikes and Volatility,2014,Food Policy,ARTICLE,multi,HIGH,NEEDED,,https://annas-archive.org/search?q=Tadesse+Drivers+and+Triggers+of+International+Food+Price+Spikes+and+Volatility,https://archive.org/search?query=Tadesse+Drivers+and+Triggers+of+International+Food+Price+Spikes+and+Volatility,,Tadesse Drivers and Triggers of International Food Price Spikes and Volatility
80,Food Price History,2011_spike,Lagi,Marco,The Food Crises and Political Instability in North Africa and the Middle East,2011,NECSI,WORKING_PAPER,multi,MEDIUM,NEEDED,Food prices → Arab Spring,https://annas-archive.org/search?q=Lagi+The+Food+Crises+and+Political+Instability+in+North+Africa+and+the+Middle+East,https://archive.org/search?query=Lagi+The+Food+Crises+and+Political+Instability+in+North+Africa+and+the+Middle+East,https://arxiv.org/abs/1108.2455,Lagi The Food Crises and Political Instability in North Africa and the Middle East
81,Food Price History,2022_spike,Glauber,Joseph W.,"The War in Ukraine, Agricultural Trade and Risks to Global Food Security",2022,IFPRI,REPORT,cereals,HIGH,NEEDED,With Laborde,https://annas-archive.org/search?q=Glauber+The+War+in+Ukraine%2C+Agricultural+Trade+and+Risks+to+Global+Food+Security,https://archive.org/search?query=Glauber+The+War+in+Ukraine%2C+Agricultural+Trade+and+Risks+to+Global+Food+Security,https://www.ifpri.org/blog/war-ukraine-agricultural-trade-and-risks-global-food-security,"Glauber The War in Ukraine, Agricultural Trade and Risks to Global Food Security"
82,Food Price History,2022_spike,FAO,,The Importance of Ukraine and the Russian Federation for Global Agricultural Markets,2022,FAO,REPORT,cereals,HIGH,NEEDED,Info note,https://annas-archive.org/search?q=FAO+The+Importance+of+Ukraine+and+the+Russian+Federation+for+Global+Agricultural+Markets,https://archive.org/search?query=FAO+The+Importance+of+Ukraine+and+the+Russian+Federation+for+Global+Agricultural+Markets,https://www.fao.org/3/cb9236en/cb9236en.pdf,FAO The Importance of Ukraine and the Russian Federation for Global Agricultural Markets
83,Food Price History,2022_spike,Carriquiry,Miguel,Russia's Invasion of Ukraine: Consequences for Global Agriculture,2022,Applied Econ Perspectives & Policy,ARTICLE,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=Carriquiry+Russia%27s+Invasion+of+Ukraine%3A+Consequences+for+Global+Agriculture,https://archive.org/search?query=Carriquiry+Russia%27s+Invasion+of+Ukraine%3A+Consequences+for+Global+Agriculture,,Carriquiry Russia's Invasion of Ukraine: Consequences for Global Agriculture
84,Food Price History,secular_trends,Grilli,Enzo R.,"Primary Commodity Prices, Manufactured Goods Prices, and the Terms of Trade of Developing Countries",1988,World Bank Economic Review,ARTICLE,multi,HIGH,NEEDED,With Yang; Prebisch-Singer data,https://annas-archive.org/search?q=Grilli+Primary+Commodity+Prices%2C+Manufactured+Goods+Prices%2C+and+the+Terms+of+Trade+of+Developing+Countries,https://archive.org/search?query=Grilli+Primary+Commodity+Prices%2C+Manufactured+Goods+Prices%2C+and+the+Terms+of+Trade+of+Developing+Countries,https://doi.org/10.1093/wber/2.1.1,"Grilli Primary Commodity Prices, Manufactured Goods Prices, and the Terms of Trade of Developing Countries"
85,Food Price History,secular_trends,Erten,Bilge,Super-Cycles of Commodity Prices Since the Mid-Nineteenth Century,2013,World Development,ARTICLE,multi,HIGH,NEEDED,With Ocampo,https://annas-archive.org/search?q=Erten+Super-Cycles+of+Commodity+Prices+Since+the+Mid-Nineteenth+Century,https://archive.org/search?query=Erten+Super-Cycles+of+Commodity+Prices+Since+the+Mid-Nineteenth+Century,,Erten Super-Cycles of Commodity Prices Since the Mid-Nineteenth Century
86,Food Price History,secular_trends,Pfaffenzeller,Stephan,A Short Note on Updating the Grilli and Yang Commodity Price Index,2007,World Bank Economic Review,ARTICLE,multi,MEDIUM,NEEDED,Index-update methodology,https://annas-archive.org/search?q=Pfaffenzeller+A+Short+Note+on+Updating+the+Grilli+and+Yang+Commodity+Price+Index,https://archive.org/search?query=Pfaffenzeller+A+Short+Note+on+Updating+the+Grilli+and+Yang+Commodity+Price+Index,,Pfaffenzeller A Short Note on Updating the Grilli and Yang Commodity Price Index
87,Food Price History,secular_trends,Deaton,Angus,Commodity Prices and Growth in Africa,1999,Journal of Economic Perspectives,ARTICLE,multi,MEDIUM,NEEDED,Resource curse + prices,https://annas-archive.org/search?q=Deaton+Commodity+Prices+and+Growth+in+Africa,https://archive.org/search?query=Deaton+Commodity+Prices+and+Growth+in+Africa,https://doi.org/10.1257/jep.13.3.23,Deaton Commodity Prices and Growth in Africa
88,Food Price History,2008_crisis,Sumner,Daniel A.,Recent Commodity Price Movements in Historical Perspective,2009,AJAE,ARTICLE,multi,HIGH,NEEDED,,https://annas-archive.org/search?q=Sumner+Recent+Commodity+Price+Movements+in+Historical+Perspective,https://archive.org/search?query=Sumner+Recent+Commodity+Price+Movements+in+Historical+Perspective,,Sumner Recent Commodity Price Movements in Historical Perspective
89,Food Price History,2008_crisis,Tangermann,Stefan,Policy Solutions to Agricultural Market Volatility,2011,ICTSD,REPORT,multi,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Tangermann+Policy+Solutions+to+Agricultural+Market+Volatility,https://archive.org/search?query=Tangermann+Policy+Solutions+to+Agricultural+Market+Volatility,,Tangermann Policy Solutions to Agricultural Market Volatility
90,Food Price History,secular_trends,Baffes,John,"A Framework for Analyzing the Interplay Among Food, Fuel, and Other Commodity Prices",2010,World Bank Research Observer,ARTICLE,multi,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Baffes+A+Framework+for+Analyzing+the+Interplay+Among+Food%2C+Fuel%2C+and+Other+Commodity+Prices,https://archive.org/search?query=Baffes+A+Framework+for+Analyzing+the+Interplay+Among+Food%2C+Fuel%2C+and+Other+Commodity+Prices,,"Baffes A Framework for Analyzing the Interplay Among Food, Fuel, and Other Commodity Prices"
91,Food Price History,20c_inflation,Rasmussen,Wayne D.,"25 Years of Change in Farm Production and Efficiency, 1950-75",1978,USDA SB-616,REPORT,multi,LOW,NEEDED,,https://annas-archive.org/search?q=Rasmussen+25+Years+of+Change+in+Farm+Production+and+Efficiency%2C+1950-75,https://archive.org/search?query=Rasmussen+25+Years+of+Change+in+Farm+Production+and+Efficiency%2C+1950-75,,"Rasmussen 25 Years of Change in Farm Production and Efficiency, 1950-75"
92,Food Price History,20c_inflation,Hurt,Chris,History of the Hog Cycle,2000,Purdue Extension,REPORT,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Hurt+History+of+the+Hog+Cycle,https://archive.org/search?query=Hurt+History+of+the+Hog+Cycle,,Hurt History of the Hog Cycle
93,Food Price History,pre_1900,Mintz,Sidney W.,Sweetness and Power: The Place of Sugar in Modern History,1985,Viking,BOOK,sugar,CRITICAL,NEEDED,Sugar-history classic,https://annas-archive.org/search?q=Mintz+Sweetness+and+Power%3A+The+Place+of+Sugar+in+Modern+History,https://archive.org/search?query=Mintz+Sweetness+and+Power%3A+The+Place+of+Sugar+in+Modern+History,,Mintz Sweetness and Power: The Place of Sugar in Modern History
94,Food Price History,pre_1900,Kurlansky,Mark,Salt: A World History,2002,Walker,BOOK,none,MEDIUM,NEEDED,Commodity history,https://annas-archive.org/search?q=Kurlansky+Salt%3A+A+World+History,https://archive.org/search?query=Kurlansky+Salt%3A+A+World+History,,Kurlansky Salt: A World History
95,Food Price History,pre_1900,Kurlansky,Mark,Cod: A Biography of the Fish That Changed the World,1997,Walker,BOOK,meat,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Kurlansky+Cod%3A+A+Biography+of+the+Fish+That+Changed+the+World,https://archive.org/search?query=Kurlansky+Cod%3A+A+Biography+of+the+Fish+That+Changed+the+World,,Kurlansky Cod: A Biography of the Fish That Changed the World
96,Food Price History,pre_1900,Kurlansky,Mark,"Milk! A 10,000-Year Food Fracas",2018,Bloomsbury,BOOK,dairy,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Kurlansky+Milk%21+A+10%2C000-Year+Food+Fracas,https://archive.org/search?query=Kurlansky+Milk%21+A+10%2C000-Year+Food+Fracas,,"Kurlansky Milk! A 10,000-Year Food Fracas"
97,Food Price History,secular_trends,Fogel,Robert W.,"The Escape from Hunger and Premature Death, 1700-2100",2004,Cambridge UP,BOOK,none,MEDIUM,NEEDED,Nutrition + economic history,https://annas-archive.org/search?q=Fogel+The+Escape+from+Hunger+and+Premature+Death%2C+1700-2100,https://archive.org/search?query=Fogel+The+Escape+from+Hunger+and+Premature+Death%2C+1700-2100,,"Fogel The Escape from Hunger and Premature Death, 1700-2100"
98,Food Price History,1970s_shock,Tweeten,Luther,Foundations of Farm Policy,1979,U Nebraska Press,BOOK,multi,MEDIUM,NEEDED,Classic ag-policy text,https://annas-archive.org/search?q=Tweeten+Foundations+of+Farm+Policy,https://archive.org/search?query=Tweeten+Foundations+of+Farm+Policy,,Tweeten Foundations of Farm Policy
99,Food Price History,2008_crisis,Meyer,Seth,Prospects for Returning to More Normal World Agricultural Commodity Markets,2010,Ag Econ,ARTICLE,multi,LOW,NEEDED,,https://annas-archive.org/search?q=Meyer+Prospects+for+Returning+to+More+Normal+World+Agricultural+Commodity+Markets,https://archive.org/search?query=Meyer+Prospects+for+Returning+to+More+Normal+World+Agricultural+Commodity+Markets,,Meyer Prospects for Returning to More Normal World Agricultural Commodity Markets
100,Food Price History,2022_spike,Laborde,David,Implications of the War in Ukraine for Agricultural Markets,2022,IFPRI,REPORT,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=Laborde+Implications+of+the+War+in+Ukraine+for+Agricultural+Markets,https://archive.org/search?query=Laborde+Implications+of+the+War+in+Ukraine+for+Agricultural+Markets,,Laborde Implications of the War in Ukraine for Agricultural Markets
101,Cereals Grains,wheat,Olmstead,Alan L.,"The Red Queen and the Hard Reds: Productivity Growth in American Wheat, 1800-1940",2002,Journal of Economic History,ARTICLE,cereals,HIGH,NEEDED,With Rhode,https://annas-archive.org/search?q=Olmstead+The+Red+Queen+and+the+Hard+Reds%3A+Productivity+Growth+in+American+Wheat%2C+1800-1940,https://archive.org/search?query=Olmstead+The+Red+Queen+and+the+Hard+Reds%3A+Productivity+Growth+in+American+Wheat%2C+1800-1940,,"Olmstead The Red Queen and the Hard Reds: Productivity Growth in American Wheat, 1800-1940"
102,Cereals Grains,wheat,Malenbaum,Wilfred,"The World Wheat Economy, 1885-1939",1953,Harvard UP,BOOK,cereals,MEDIUM,NEEDED,Classic wheat-market history,https://annas-archive.org/search?q=Malenbaum+The+World+Wheat+Economy%2C+1885-1939,https://archive.org/search?query=Malenbaum+The+World+Wheat+Economy%2C+1885-1939,,"Malenbaum The World Wheat Economy, 1885-1939"
103,Cereals Grains,wheat,Chattopadhyay,Sumit,"The Global Wheat Market: Production, Trade, and Pricing",2020,Routledge,BOOK,cereals,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Chattopadhyay+The+Global+Wheat+Market%3A+Production%2C+Trade%2C+and+Pricing,https://archive.org/search?query=Chattopadhyay+The+Global+Wheat+Market%3A+Production%2C+Trade%2C+and+Pricing,,"Chattopadhyay The Global Wheat Market: Production, Trade, and Pricing"
104,Cereals Grains,corn,Walters,Alan A.,The Global Corn Economy,2015,Elsevier,BOOK,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=Walters+The+Global+Corn+Economy,https://archive.org/search?query=Walters+The+Global+Corn+Economy,,Walters The Global Corn Economy
105,Cereals Grains,corn,Carter,Colin A.,Biofuels and Agricultural Commodity Prices: A Review of the Evidence Base,2016,Ecological Economics,ARTICLE,cereals,HIGH,NEEDED,"With Rausser, Smith",https://annas-archive.org/search?q=Carter+Biofuels+and+Agricultural+Commodity+Prices%3A+A+Review+of+the+Evidence+Base,https://archive.org/search?query=Carter+Biofuels+and+Agricultural+Commodity+Prices%3A+A+Review+of+the+Evidence+Base,,Carter Biofuels and Agricultural Commodity Prices: A Review of the Evidence Base
106,Cereals Grains,corn,Hertel,Thomas W.,Impacts of US Ethanol Mandate on World Agriculture,2010,AJAE,ARTICLE,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=Hertel+Impacts+of+US+Ethanol+Mandate+on+World+Agriculture,https://archive.org/search?query=Hertel+Impacts+of+US+Ethanol+Mandate+on+World+Agriculture,,Hertel Impacts of US Ethanol Mandate on World Agriculture
107,Cereals Grains,corn,Wright,Brian D.,Global Biofuels: Key to the Puzzle of Grain Market Behavior,2014,J Econ Perspectives,ARTICLE,cereals,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Wright+Global+Biofuels%3A+Key+to+the+Puzzle+of+Grain+Market+Behavior,https://archive.org/search?query=Wright+Global+Biofuels%3A+Key+to+the+Puzzle+of+Grain+Market+Behavior,https://doi.org/10.1257/jep.28.1.73,Wright Global Biofuels: Key to the Puzzle of Grain Market Behavior
108,Cereals Grains,rice,Slayton,Tom,Rice Crisis Forensics: How Asian Governments Carelessly Set the World Rice Market on Fire,2009,Center for Global Development WP 163,WORKING_PAPER,cereals,CRITICAL,NEEDED,Classic on 2008 rice spike,https://annas-archive.org/search?q=Slayton+Rice+Crisis+Forensics%3A+How+Asian+Governments+Carelessly+Set+the+World+Rice+Market+on+Fire,https://archive.org/search?query=Slayton+Rice+Crisis+Forensics%3A+How+Asian+Governments+Carelessly+Set+the+World+Rice+Market+on+Fire,https://www.cgdev.org/publication/rice-crisis-forensics-how-asian-governments-carelessly-set-world-rice-market-fire,Slayton Rice Crisis Forensics: How Asian Governments Carelessly Set the World Rice Market on Fire
109,Cereals Grains,rice,Timmer,C. Peter,Managing the World Rice Market,2010,AJAE,ARTICLE,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=Timmer+Managing+the+World+Rice+Market,https://archive.org/search?query=Timmer+Managing+the+World+Rice+Market,,Timmer Managing the World Rice Market
110,Cereals Grains,rice,Dawe,David,"The Rice Crisis: Markets, Policies and Food Security",2010,Earthscan/FAO,BOOK,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=Dawe+The+Rice+Crisis%3A+Markets%2C+Policies+and+Food+Security,https://archive.org/search?query=Dawe+The+Rice+Crisis%3A+Markets%2C+Policies+and+Food+Security,,"Dawe The Rice Crisis: Markets, Policies and Food Security"
111,Cereals Grains,soybeans,Chern,Wen S.,The US-China Soybean Trade and the 2018 Tariffs,2019,Choices Magazine,ARTICLE,cereals,HIGH,NEEDED,Trade war,https://annas-archive.org/search?q=Chern+The+US-China+Soybean+Trade+and+the+2018+Tariffs,https://archive.org/search?query=Chern+The+US-China+Soybean+Trade+and+the+2018+Tariffs,,Chern The US-China Soybean Trade and the 2018 Tariffs
112,Cereals Grains,soybeans,Taheripour,Farzad,The Impact of Considering Land Intensification and Updated Land Use Data on Biofuels Carbon Savings,2016,Environmental Research Letters,ARTICLE,cereals,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Taheripour+The+Impact+of+Considering+Land+Intensification+and+Updated+Land+Use+Data+on+Biofuels+Carbon+Savings,https://archive.org/search?query=Taheripour+The+Impact+of+Considering+Land+Intensification+and+Updated+Land+Use+Data+on+Biofuels+Carbon+Savings,,Taheripour The Impact of Considering Land Intensification and Updated Land Use Data on Biofuels Carbon Savings
113,Cereals Grains,soybeans,Gale,Fred,The Rise of China's Demand for Soybeans,2019,USDA ERS,REPORT,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=Gale+The+Rise+of+China%27s+Demand+for+Soybeans,https://archive.org/search?query=Gale+The+Rise+of+China%27s+Demand+for+Soybeans,https://www.ers.usda.gov/publications,Gale The Rise of China's Demand for Soybeans
114,Cereals Grains,cbot_futures,Lurie,Jonathan,"The Chicago Board of Trade, 1859-1905",1979,U Illinois Press,BOOK,cereals,HIGH,NEEDED,Institutional history,https://annas-archive.org/search?q=Lurie+The+Chicago+Board+of+Trade%2C+1859-1905,https://archive.org/search?query=Lurie+The+Chicago+Board+of+Trade%2C+1859-1905,,"Lurie The Chicago Board of Trade, 1859-1905"
115,Cereals Grains,cbot_futures,Santos,Joseph,A History of Futures Trading in the United States,2008,EH.net Encyclopedia,ARTICLE,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Santos+A+History+of+Futures+Trading+in+the+United+States,https://archive.org/search?query=Santos+A+History+of+Futures+Trading+in+the+United+States,https://eh.net/encyclopedia/a-history-of-futures-trading-in-the-united-states/,Santos A History of Futures Trading in the United States
116,Cereals Grains,cbot_futures,Williams,Jeffrey C.,The Origin of Futures Markets,1982,Agricultural History,ARTICLE,cereals,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Williams+The+Origin+of+Futures+Markets,https://archive.org/search?query=Williams+The+Origin+of+Futures+Markets,,Williams The Origin of Futures Markets
117,Cereals Grains,yield_weather,Schlenker,Wolfram,Nonlinear Temperature Effects Indicate Severe Damages to U.S. Crop Yields Under Climate Change,2009,PNAS,ARTICLE,cereals,CRITICAL,NEEDED,With Roberts,https://annas-archive.org/search?q=Schlenker+Nonlinear+Temperature+Effects+Indicate+Severe+Damages+to+U.S.+Crop+Yields+Under+Climate+Change,https://archive.org/search?query=Schlenker+Nonlinear+Temperature+Effects+Indicate+Severe+Damages+to+U.S.+Crop+Yields+Under+Climate+Change,https://doi.org/10.1073/pnas.0906865106,Schlenker Nonlinear Temperature Effects Indicate Severe Damages to U.S. Crop Yields Under Climate Change
118,Cereals Grains,yield_weather,Lobell,David B.,The Influence of Climate Change on Global Crop Productivity,2012,Plant Physiology,ARTICLE,cereals,HIGH,NEEDED,With Gourdji,https://annas-archive.org/search?q=Lobell+The+Influence+of+Climate+Change+on+Global+Crop+Productivity,https://archive.org/search?query=Lobell+The+Influence+of+Climate+Change+on+Global+Crop+Productivity,,Lobell The Influence of Climate Change on Global Crop Productivity
119,Cereals Grains,yield_weather,Deschênes,Olivier,The Economic Impacts of Climate Change: Evidence from Agricultural Output and Random Fluctuations in Weather,2007,AER,ARTICLE,cereals,HIGH,NEEDED,With Greenstone,https://annas-archive.org/search?q=Desch%C3%AAnes+The+Economic+Impacts+of+Climate+Change%3A+Evidence+from+Agricultural+Output+and+Random+Fluctuations+in+Weather,https://archive.org/search?query=Desch%C3%AAnes+The+Economic+Impacts+of+Climate+Change%3A+Evidence+from+Agricultural+Output+and+Random+Fluctuations+in+Weather,,Deschênes The Economic Impacts of Climate Change: Evidence from Agricultural Output and Random Fluctuations in Weather
120,Cereals Grains,corn,FAO,,World Food Situation: Cereal Supply and Demand Brief,2024,FAO,REPORT,cereals,MEDIUM,NEEDED,Monthly series,https://annas-archive.org/search?q=FAO+World+Food+Situation%3A+Cereal+Supply+and+Demand+Brief,https://archive.org/search?query=FAO+World+Food+Situation%3A+Cereal+Supply+and+Demand+Brief,https://www.fao.org/worldfoodsituation/csdb/en/,FAO World Food Situation: Cereal Supply and Demand Brief
121,Cereals Grains,wheat,USDA,,Wheat Outlook (monthly),2024,USDA ERS,REPORT,cereals,HIGH,NEEDED,Primary WASDE-linked publication,https://annas-archive.org/search?q=USDA+Wheat+Outlook+%28monthly%29,https://archive.org/search?query=USDA+Wheat+Outlook+%28monthly%29,https://www.ers.usda.gov/publications/periodicals/,USDA Wheat Outlook (monthly)
122,Cereals Grains,corn,USDA,,Feed Outlook (monthly),2024,USDA ERS,REPORT,cereals,HIGH,NEEDED,Corn + sorghum,https://annas-archive.org/search?q=USDA+Feed+Outlook+%28monthly%29,https://archive.org/search?query=USDA+Feed+Outlook+%28monthly%29,https://www.ers.usda.gov/publications/periodicals/,USDA Feed Outlook (monthly)
123,Cereals Grains,rice,USDA,,Rice Outlook (monthly),2024,USDA ERS,REPORT,cereals,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Rice+Outlook+%28monthly%29,https://archive.org/search?query=USDA+Rice+Outlook+%28monthly%29,https://www.ers.usda.gov/publications/periodicals/,USDA Rice Outlook (monthly)
124,Cereals Grains,soybeans,USDA,,Oil Crops Outlook (monthly),2024,USDA ERS,REPORT,cereals,HIGH,NEEDED,Soy + other oilseeds,https://annas-archive.org/search?q=USDA+Oil+Crops+Outlook+%28monthly%29,https://archive.org/search?query=USDA+Oil+Crops+Outlook+%28monthly%29,https://www.ers.usda.gov/publications/periodicals/,USDA Oil Crops Outlook (monthly)
125,Cereals Grains,wheat,Irwin,Scott H.,The Financialization of Commodity Futures Markets and the Adequacy of Speculation,2012,Ag Applied Econ,ARTICLE,cereals,HIGH,NEEDED,With Sanders,https://annas-archive.org/search?q=Irwin+The+Financialization+of+Commodity+Futures+Markets+and+the+Adequacy+of+Speculation,https://archive.org/search?query=Irwin+The+Financialization+of+Commodity+Futures+Markets+and+the+Adequacy+of+Speculation,,Irwin The Financialization of Commodity Futures Markets and the Adequacy of Speculation
126,Cereals Grains,corn,Hayes,Dermot J.,Corn Belt Economic Outlook,2024,Iowa State CARD,REPORT,cereals,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Hayes+Corn+Belt+Economic+Outlook,https://archive.org/search?query=Hayes+Corn+Belt+Economic+Outlook,https://www.card.iastate.edu/,Hayes Corn Belt Economic Outlook
127,Cereals Grains,soybeans,Westhoff,Patrick,The Economics of Food: How Feeding and Fueling the Planet Affects Food Prices,2010,FT Press,BOOK,multi,HIGH,NEEDED,Accessible,https://annas-archive.org/search?q=Westhoff+The+Economics+of+Food%3A+How+Feeding+and+Fueling+the+Planet+Affects+Food+Prices,https://archive.org/search?query=Westhoff+The+Economics+of+Food%3A+How+Feeding+and+Fueling+the+Planet+Affects+Food+Prices,,Westhoff The Economics of Food: How Feeding and Fueling the Planet Affects Food Prices
128,Cereals Grains,yield_weather,Burke,Marshall,The Economic Impacts of Climate Change in the United States,2015,Nature Climate Change,ARTICLE,multi,HIGH,NEEDED,,https://annas-archive.org/search?q=Burke+The+Economic+Impacts+of+Climate+Change+in+the+United+States,https://archive.org/search?query=Burke+The+Economic+Impacts+of+Climate+Change+in+the+United+States,,Burke The Economic Impacts of Climate Change in the United States
129,Cereals Grains,wheat,Cooke,Bryce,"Recent Convergence Performance of CBOT Corn, Soybean, and Wheat Futures Contracts",2011,AJAE,ARTICLE,cereals,MEDIUM,NEEDED,With Robles,https://annas-archive.org/search?q=Cooke+Recent+Convergence+Performance+of+CBOT+Corn%2C+Soybean%2C+and+Wheat+Futures+Contracts,https://archive.org/search?query=Cooke+Recent+Convergence+Performance+of+CBOT+Corn%2C+Soybean%2C+and+Wheat+Futures+Contracts,,"Cooke Recent Convergence Performance of CBOT Corn, Soybean, and Wheat Futures Contracts"
