id,food_item,price,unit,store_type,location,state,country,date,source,brand,quality_grade,imported_at
1,almond,2.21,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950524
2,apple,2.3,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950527
3,banana,2.43,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950528
4,barley,2.36,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950529
5,basil,2.9,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950531
6,beef-brisket,2.11,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950532
7,blueberry,2.48,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950533
8,butter,2.62,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950534
9,cabbage,2.1,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950535
10,canola-oil,2.41,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950536
11,carrot,2.19,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950537
12,carrots,2.24,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950538
13,celery,2.21,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950539
14,cheese,2.15,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950540
16,chicken,2.25,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950543
15,chicken-breast,2.06,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950542
17,cilantro,2.99,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950544
18,cinnamon,2.46,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950545
19,cloves,2.27,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950546
20,cocoa,2.86,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950547
21,coffee,2.34,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950548
22,corn,2.37,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950549
23,eggs,2.56,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950550
24,flour,2.46,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950551
25,garlic,2.83,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950553
26,ginger,2.76,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950554
27,grape,2.47,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950555
28,juice,2.23,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950556
29,lemon,2.01,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950557
30,lettuce,2.6,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950558
31,lime,2.79,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950559
32,lobster,2.71,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950560
33,milk,2.44,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950561
34,nutmeg,2.7,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950562
35,oats,2.69,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950563
36,olive-oil,2.03,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950564
37,onion,2.4,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950566
38,onions,2.43,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950567
39,orange,2.31,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950568
40,parsley,2.55,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950569
41,pecan,2.4,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950570
42,pepper,2.42,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950571
43,pistachio,2.06,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950572
45,pork,2.34,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950574
44,pork-loin,2.1,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950573
46,potato,2.96,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950575
47,potatoes,2.38,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950576
48,rice,2.12,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950577
49,saffron,2.85,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950578
50,salmon,2.76,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950580
51,salt,2.73,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950581
52,shrimp,2.0,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950582
53,soybeans,2.17,lb,Retail,National Average,,USA,2025-09-15 00:00:00.000000,USDA,,Other,2026-03-28 16:39:58.950583
